event,eventLabel,year,countryLabel
http://www.wikidata.org/entity/Q519546,Nauruan Civil War,1878,
http://www.wikidata.org/entity/Q214426,Mexican Revolution,1910,Mexico
http://www.wikidata.org/entity/Q23641794,Dominican Civil War of 1914,1914,Dominican Republic
http://www.wikidata.org/entity/Q16674517,Expulsion of Otto of Greece,1862,Kingdom of Greece
http://www.wikidata.org/entity/Q106194524,1900 Colombia coup d'état,1900,Colombia
http://www.wikidata.org/entity/Q17633455,Peruvian Civil War of 1865,1865,Peru
http://www.wikidata.org/entity/Q17633460,Peruvian Civil War of 1867,1867,Peru
http://www.wikidata.org/entity/Q2091916,Reform War,1857,Mexico
http://www.wikidata.org/entity/Q6177105,Jementah Civil War,1879,Malaysia
http://www.wikidata.org/entity/Q79911,Russian Civil War,1917,Soviet Union
http://www.wikidata.org/entity/Q65077988,1911 Paraguayan Civil War,1911,Paraguay
http://www.wikidata.org/entity/Q39080987,Ecuadorian Civil War of 1912–1914,1913,Ecuador
http://www.wikidata.org/entity/Q117406977,Q117406977,1854,Kara-Kyrgyz Khanate
http://www.wikidata.org/entity/Q5479162,Liberal Revolution of 1854,1853,Peru
http://www.wikidata.org/entity/Q1041813,Manchu Restoration,1917,Republic of China
http://www.wikidata.org/entity/Q79911,Russian Civil War,1917,Russian Empire
http://www.wikidata.org/entity/Q1345258,National Protection War,1915,Republic of China
http://www.wikidata.org/entity/Q134254356,Liberian–Grebo War,1875,Liberia
http://www.wikidata.org/entity/Q79911,Russian Civil War,1917,Ukrainian People's Republic
http://www.wikidata.org/entity/Q109424350,Coup d'état in Colombia of 1861,1861,United States of Colombia
http://www.wikidata.org/entity/Q916340,Jameson Raid,1895,South African Republic
http://www.wikidata.org/entity/Q61750249,Veintemilla Revolution,1876,Ecuador
http://www.wikidata.org/entity/Q309184,Boshin War,1868,Government of Meiji Japan
http://www.wikidata.org/entity/Q179975,Chinese Civil War,1927,Republic of China
http://www.wikidata.org/entity/Q955457,Dominican Civil War,1965,Dominican Republic
http://www.wikidata.org/entity/Q1282732,Guatemalan Civil War,1965,Guatemala
http://www.wikidata.org/entity/Q748042,Irish Civil War,1922,Ireland
http://www.wikidata.org/entity/Q875992,Phocomelia due to thalidomide,1961,Germany
http://www.wikidata.org/entity/Q1553256,Nicaraguan Civil War of 1926–1927,1926,Nicaragua
http://www.wikidata.org/entity/Q593774,1953 Iranian coup d'état,1953,Iran
http://www.wikidata.org/entity/Q449436,November 1963 Iraqi coup d'état,1963,First Republic of Iraq
http://www.wikidata.org/entity/Q4121073,Chilean naval mutiny of 1931,1931,Chile
http://www.wikidata.org/entity/Q717809,Central Plains War,1930,Republic of China
http://www.wikidata.org/entity/Q979845,Naxalite–Maoist insurgency,1967,India
http://www.wikidata.org/entity/Q6107183,Agua Prieta Revolution,1920,Mexico
http://www.wikidata.org/entity/Q7096997,Operation Dixie,1946,United States
http://www.wikidata.org/entity/Q2436825,Spanish coup of July 1936,1936,Spanish Republic at War
http://www.wikidata.org/entity/Q1712418,July Revolution (Ecuador),1925,Ecuador
http://www.wikidata.org/entity/Q829875,Nigerian Civil War,1967,Nigeria
http://www.wikidata.org/entity/Q781029,Saint-Sylvestre coup d'état,1965,Central African Republic
http://www.wikidata.org/entity/Q2578241,Ramadan Revolution,1963,First Republic of Iraq
http://www.wikidata.org/entity/Q976887,1954 Guatemalan coup d'état,1954,Guatemala
http://www.wikidata.org/entity/Q19688873,Tragic Week,1920,Guatemala
