id,label,year,country,tag,source_file
Q6112842,Aquaria water museum,1991,Sweden,exploration,exploration_gap2
Q5211449,Dallas World Aquarium,1992,United States,exploration,exploration_gap2
Q7231211,Port of Nagoya Public Aquarium,1992,Japan,exploration,exploration_gap2
Q7700014,Tennessee Aquarium,1992,United States,exploration,exploration_gap2
Q7400110,Kujukushima Pearl Sea Resort,1994,Japan,exploration,exploration_gap2
Q3074266,Florida Aquarium,1995,United States,exploration,exploration_gap2
Q4712807,Albuquerque Aquarium,1996,United States,exploration,exploration_gap2
Q7389560,SEA LIFE Minnesota Aquarium,1996,United States,exploration,exploration_gap2
Q6478947,Lakes Aquarium,1997,United Kingdom,exploration,exploration_gap2
Q11259022,Kagoshima City Aquarium,1997,Japan,exploration,exploration_gap2
Q4782759,Aquarium of the Pacific,1998,United States,exploration,exploration_gap2
Q4929628,Blue Planet Aquarium,1998,United Kingdom,exploration,exploration_gap2
Q3398288,Aquarium Finisterrae,1999,Spain,exploration,exploration_gap2
Q7883060,UnderWater World Guam,1999,United States,exploration,exploration_gap2
Q4782699,Aquamarine Fukushima,2000,Japan,exploration,exploration_gap2
Q5599417,Great Lakes Aquarium,2000,United States,exploration,exploration_gap2
Q7566553,South Carolina Aquarium,2000,United States,exploration,exploration_gap2
Q9047113,Mar del Plata Museum of the Sea,2000,Argentina,exploration,exploration_gap2
Q11361443,Shimonoseki Marine Science Museum Kaikyōkan,2001,Japan,exploration,exploration_gap2
Q4782624,Aqua World,2002,Japan,exploration,exploration_gap2
Q7729542,The Deep,2002,United Kingdom,exploration,exploration_gap2
Q4063085,Alushta Aquarium,2003,Russia,exploration,exploration_gap2
Q5303351,"Downtown Aquarium, Houston",2003,United States,exploration,exploration_gap2
Q5459553,Flint RiverQuarium,2004,United States,exploration,exploration_gap2
Q11282869,Aquatotto Gifu,2004,Japan,exploration,exploration_gap2
Q6636970,Sea Life Bangkok Ocean World,2005,Thailand,exploration,exploration_gap2
Q8187792,Aquarium of Gijón,2006,Spain,exploration,exploration_gap2
Q4332496,Moscow Oceanarium,2007,Russia,exploration,exploration_gap2
Q4059427,Dubai Aquarium and Underwater Zoo,2008,United Arab Emirates,exploration,exploration_gap2
Q4809463,Sea Life İstanbul,2009,Turkey,exploration,exploration_gap2
Q7934109,Virginia Aquarium,2009,United States,exploration,exploration_gap2
Q5600498,Greater Cleveland Aquarium,2012,United States,exploration,exploration_gap2
Q8134074,Sumida Aquarium,2012,Japan,exploration,exploration_gap2
Q11375621,Kyoto Aquarium,2012,Japan,exploration,exploration_gap2
Q11360163,Joetsu Aquarium,2018,Japan,exploration,exploration_gap2
Q3312744,Sea Life London Aquarium,2026,United Kingdom,exploration,exploration_gap2
