id,label,year,country,tag,source_file
Q1136718,revanchism,1870,,technology,tech_q3
Q883038,Kerr effect,1875,,technology,tech_q3
Q464469,pork cycle,1927,,technology,tech_q3
Q6492984,Laser Clay Shooting System,1973,Japan,gaming,gaming_q1
Q4906328,Big Shot,1973,,gaming,gaming_q1
Q20874688,Spirit of 76,1975,,gaming,gaming_q1
Q20874606,Genie,1979,,gaming,gaming_q1
Q5586229,Gorgar,1979,,gaming,gaming_q1
Q8043628,Xenon,1980,,gaming,gaming_q1
Q244187,Moria,1981,United States,gaming,gaming_q1
Q5148573,Color Robot Battle,1981,United States,gaming,gaming_q1
Q20874763,Centaur,1981,,gaming,gaming_q1
Q105095637,Clowns and Balloons,1982,,gaming,gaming_q1
Q3128364,Haunted House,1982,,gaming,gaming_q1
Q85297782,Star Trek,1983,,gaming,gaming_q1
Q85399764,Star Trek: The Game,1983,,gaming,gaming_q1
Q1132500,Core War,1984,Canada,gaming,gaming_q1
Q20874775,El Dorado City of Gold,1984,,gaming,gaming_q1
Q118744296,Blastar,1984,,gaming,gaming_q1
Q7572487,Space Shuttle,1984,,gaming,gaming_q1
Q4021758,Xconq,1986,United States,gaming,gaming_q1
Q4666762,AberMUD,1989,United Kingdom,gaming,gaming_q1
Q20926295,Earthshaker!,1989,,gaming,gaming_q1
Q122222119,IKARIE XB 1 aneb Návrat na Zemi,1989,Czech Republic,gaming,gaming_q1
Q5368132,Elvira and the Party Monsters,1989,,gaming,gaming_q1
Q20926333,Lights...Camera...Action!,1989,,gaming,gaming_q1
Q244140,Angband,1990,United Kingdom,gaming,gaming_q1
Q3029768,Disc,1990,France,gaming,gaming_q1
Q4176364,Bridge Base Online,1990,United States,gaming,gaming_q1
Q7554531,VIPER,1990,Japan,gaming,gaming_q1
Q7043913,NoGravity,1990,,gaming,gaming_q1
Q7993817,Whirlwind,1990,,gaming,gaming_q1
Q55561,3D Construction Kit,1991,United Kingdom,gaming,gaming_q1
Q20875555,Class of 1812,1991,,gaming,gaming_q1
Q3027935,DikuMUD,1991,Denmark,gaming,gaming_q1
Q7601142,Star Wars MUSH,1991,,gaming,gaming_q1
Q10693357,Terminator 2: Judgment Day,1991,,gaming,gaming_q1
Q4636278,3D Construction Kit II,1992,United Kingdom,gaming,gaming_q1
Q11884781,Northern Lights,1992,,gaming,gaming_q1
Q17042762,RoboWar,1992,United States,gaming,gaming_q1
Q21036727,Mario Takes America,1992,Canada,gaming,gaming_q1
Q126184218,Brides of Dracula,1992,,gaming,gaming_q1
Q5454586,Fish Tales,1992,,gaming,gaming_q1
Q20875565,Cue Ball Wizard,1992,,gaming,gaming_q1
Q5183641,Creature from the Black Lagoon,1992,,gaming,gaming_q1
Q7601114,Star Wars,1992,,gaming,gaming_q1
Q4779100,Apano Sin,1993,Austria,gaming,gaming_q1
Q7995512,White Water,1993,,gaming,gaming_q1
Q112323529,MindMaze,1993,United States,gaming,gaming_q1
Q2047418,Twilight Zone,1993,,gaming,gaming_q1
Q4890320,Jurassic Park,1993,,gaming,gaming_q1
Q189784,Doom,1993,United States,gaming,gaming_q1
Q5236137,Robot Battle,1994,United States,gaming,gaming_q1
Q5905805,Horseland,1994,United States,gaming,gaming_q1
Q114335500,xsok,1994,,gaming,gaming_q1
Q7229286,Popeye Saves the Earth,1994,,gaming,gaming_q1
Q7734461,The Flintstones,1994,,gaming,gaming_q1
Q755186,Doom II,1994,United States,gaming,gaming_q1
Q2204974,Rocks'n'Diamonds,1995,Germany,gaming,gaming_q1
Q3087096,Liquid War,1995,France,gaming,gaming_q1
Q5519783,GameMaker,1995,,gaming,gaming_q1
Q115145884,Make-A-Map 3D,1995,United States,gaming,gaming_q1
Q7777515,Theatre of Magic,1995,,gaming,gaming_q1
Q4817939,Attack from Mars,1995,United States,gaming,gaming_q1
