id,label,year,country,tag,source_file
Q3241025,Limbdi State,1500,India,independence,independence_gap
Q2988343,Portuguese Malacca,1511,Malaysia,independence,independence_gap
Q2627602,Mukhrani,1512,,independence,independence_gap
Q248572,Sultanate of Maguindanao,1515,,independence,independence_gap
Q3045696,Regency of Algiers,1516,Regency of Algiers,independence,independence_gap
Q3324486,Prince-Bishopric of Montenegro,1516,,independence,independence_gap
Q3136850,Kingdom of Sitawaka,1521,,independence,independence_gap
Q38872,Prussia,1525,Prussia,independence,independence_gap
Q153091,Duchy of Prussia,1525,Duchy of Prussia,independence,independence_gap
Q33296,Mughal Empire,1526,,independence,independence_gap
Q153136,Habsburg monarchy,1526,Habsburg monarchy,independence,independence_gap
Q253094,Kingdom of Hungary,1526,Austrian Empire,independence,independence_gap
Q119695,New Castile Governorate,1528,Spanish Empire,independence,independence_gap
Q179023,French colonial empire,1534,France,independence,independence_gap
Q62651,Denmark–Norway,1536,,independence,independence_gap
Q373650,Sur Empire,1540,,independence,independence_gap
Q215530,Kingdom of Ireland,1542,Kingdom of Ireland,independence,independence_gap
Q186096,Tsardom of Russia,1547,Tsardom of Russia,independence,independence_gap
Q1798703,Sonepur State,1556,,independence,independence_gap
Q454436,Palatinate-Sulzbach,1557,,independence,independence_gap
Q156038,Duchy of Courland and Semigallia,1561,,independence,independence_gap
Q1759249,Real Audiencia de Quito,1563,Spanish Empire,independence,independence_gap
Q928,Philippines,1565,Philippines,independence,independence_gap
Q154849,Grand Duchy of Tuscany,1569,Italy,independence,independence_gap
Q172107,Polish–Lithuanian Commonwealth,1569,Polish–Lithuanian Commonwealth,independence,independence_gap
Q157013,Hohenzollern-Sigmaringen,1576,Germany,independence,independence_gap
Q377350,Iberian Union,1580,Spain,independence,independence_gap
Q170072,Dutch Republic,1581,Dutch Republic,independence,independence_gap
Q1688822,Jhabua State,1584,India,independence,independence_gap
Q1768252,Kingdom of Baluba,1585,,independence,independence_gap
Q402145,Mataram Sultanate,1586,Mataram Sultanate,independence,independence_gap
Q5518616,Galileo's Leaning Tower of Pisa experiment,1589,Grand Duchy of Tuscany,science,science_gap
Q1784316,Koriya,1600,India,independence,independence_gap
Q205662,Tokugawa shogunate,1603,Japan,independence,independence_gap
Q382593,New Netherland,1609,Dutch Republic,independence,independence_gap
Q1785349,Kota State,1613,British Raj,independence,independence_gap
Q157367,Brandenburg-Prussia,1618,,independence,independence_gap
Q2817348,Bima Sultanate,1620,Indonesia,independence,independence_gap
Q256961,Electorate of Bavaria,1623,Holy Roman Empire,independence,independence_gap
Q130654,Dutch Empire,1624,Netherlands,independence,independence_gap
Q209327,Kuba Kingdom,1625,,independence,independence_gap
Q1791839,Akwamu,1625,,independence,independence_gap
Q463845,Landgraviate of Hesse-Rotenburg,1627,Holy Roman Empire,independence,independence_gap
Q180235,Wadhwan State,1630,India,independence,independence_gap
Q221357,Dutch Brazil,1630,Netherlands,independence,independence_gap
Q2634240,Asahan Sultanate,1630,,independence,independence_gap
Q8733,Qing dynasty,1636,,independence,independence_gap
Q139948,Khanate of Kalat,1638,,independence,independence_gap
Q310650,Schaumburg-Lippe,1643,,independence,independence_gap
Q330362,Commonwealth of England,1649,,independence,independence_gap
Q15824804,Kénédougou Kingdom,1650,,independence,independence_gap
Q23361,Magdeburg hemispheres,1654,,science,science_gap
Q152855,Kingdom of Tungning,1661,,independence,independence_gap
Q11723502,Jaxa,1665,,independence,independence_gap
Q1796223,Kingdom of Lunda,1665,,independence,independence_gap
Q11944481,Raghogarh State,1673,India,independence,independence_gap
Q83618,Maratha Empire,1674,,independence,independence_gap
Q1740542,Quba Khanate,1680,,independence,independence_gap
Q391189,Taiwan under Qing dynasty rule,1683,Qing dynasty,independence,independence_gap
Q1281398,Gustav III of Sweden's coffee experiment,1700,,science,science_gap
Q454941,Amarasi,1700,Indonesia,independence,independence_gap
Q27306,Kingdom of Prussia,1701,German Empire,independence,independence_gap
Q1778868,Kingdom of Gumma,1701,,independence,independence_gap
Q161885,Kingdom of Great Britain,1707,Kingdom of Great Britain,independence,independence_gap
Q338248,Kingdom of Luang Phrabang,1707,,independence,independence_gap
Q1843786,Anhalt-Bernburg-Schaumburg-Hoym,1718,,independence,independence_gap
Q34266,Russian Empire,1721,Russian Empire,independence,independence_gap
Q12491400,Pelalawan Sultanate,1725,,independence,independence_gap
Q404774,Sultanate of Lahej,1728,Yemen,independence,independence_gap
Q150058,Kingdom of Thiruvithamkoor,1729,British Raj,independence,independence_gap
Q1740533,Baku Khanate,1735,,independence,independence_gap
Q83444,Kingdom of Corsica,1736,,independence,independence_gap
Q180393,Kingdom of the Two Sicilies,1738,Kingdom of the Two Sicilies,independence,independence_gap
Q1776972,Ramdurg State,1742,,independence,independence_gap
Q1806438,Las Bela State,1742,British Raj,independence,independence_gap
Q1703449,Shaki Khanate,1743,Russian Empire,independence,independence_gap
Q146871,First Saudi State,1744,Saudi Arabia,independence,independence_gap
Q210198,Erivan Khanate,1747,Afsharid Iran,independence,independence_gap
Q12844379,Kazakh sultanate,1747,,independence,independence_gap
Q1740529,Derbent Khanate,1747,Russia,independence,independence_gap
Q1740536,Ganja khanate,1747,,independence,independence_gap
Q467627,Durrani Empire,1747,,independence,independence_gap
Q12191529,Emirate of Lengeh,1750,Iran,independence,independence_gap
Q146597,Zand Iran,1751,,independence,independence_gap
Q176466,Rewa State,1755,British Raj,independence,independence_gap
Q2001966,Company rule in India,1757,British Empire,independence,independence_gap
Q282475,Kingdom of Kartli-Kakheti,1762,,independence,independence_gap
Q1728782,Kapurthala State,1772,British Raj,independence,independence_gap
Q175934,Pratapgarh State,1775,,independence,independence_gap
Q1806491,Transylvania Colony,1775,United States,independence,independence_gap
Q501684,Kingdom of Gomma,1780,,independence,independence_gap
Q21002732,discovery of Uranus,1781,,science,science_gap
Q123376497,Pictet's experiment,1790,,science,science_gap
Q1759078,Kingdom of Jimma,1790,,independence,independence_gap
Q69323,French constitutional monarchy,1791,France,independence,independence_gap
Q58296,French First Republic,1792,France,independence,independence_gap
Q83536,Anglo-Corsican Kingdom,1794,,independence,independence_gap
Q156418,Kingdom of Hawaiʻi,1795,Kingdom of Hawaiʻi,independence,independence_gap
Q188553,Batavian Republic,1795,Batavian Republic,independence,independence_gap
Q370736,Cape Colony,1795,British Empire,independence,independence_gap
Q463289,Cispadane Republic,1796,,independence,independence_gap
Q213353,Cisalpine Republic,1797,Cisalpine Republic,independence,independence_gap
Q206696,Helvetic Republic,1798,Helvetic Republic,independence,independence_gap
Q175881,Roman Republic,1798,Italy,independence,independence_gap
Q514423,Parthenopean Republic,1799,Parthenopean Republic,independence,independence_gap
Q188161,Dutch East Indies,1800,Kingdom of the Netherlands,independence,independence_gap
Q129799,Bukey Horde,1801,Russian Empire,independence,independence_gap
Q174193,United Kingdom of Great Britain and Ireland,1801,United Kingdom of Great Britain and Ireland,independence,independence_gap
Q223793,Kingdom of Etruria,1801,,independence,independence_gap
Q131964,Austrian Empire,1804,Austrian Empire,independence,independence_gap
Q790,Haiti,1804,Haiti,independence,independence_gap
Q223936,Kingdom of Italy,1805,Kingdom of Italy,independence,independence_gap
Q153015,Kingdom of Saxony,1806,German Reich,independence,independence_gap
Q154195,Kingdom of Bavaria,1806,German Reich,independence,independence_gap
Q159631,Kingdom of Württemberg,1806,German Empire,independence,independence_gap
Q186320,Grand Duchy of Baden,1806,Germany,independence,independence_gap
Q20135,Grand Duchy of Hesse,1806,German Reich,independence,independence_gap
Q212278,Kingdom of Holland,1806,Kingdom of Holland,independence,independence_gap
Q249428,Grand Duchy of Berg,1806,Grand Duchy of Berg,independence,independence_gap
Q152115,Duchy of Warsaw,1807,Duchy of Warsaw,independence,independence_gap
Q153943,Kingdom of Westphalia,1807,Kingdom of Westphalia,independence,independence_gap
Q8935,First Republic of Venezuela,1810,Venezuela,independence,independence_gap
Q8950,Second Republic of Venezuela,1813,Venezuela,independence,independence_gap
Q164079,Kingdom of Hanover,1814,,independence,independence_gap
Q158445,Grand Duchy of Mecklenburg-Schwerin,1815,German Reich,independence,independence_gap
Q161215,Grand Duchy of Mecklenburg-Strelitz,1815,,independence,independence_gap
Q15864,United Kingdom of the Netherlands,1815,,independence,independence_gap
Q207162,Bourbon Restoration in France,1815,France,independence,independence_gap
Q209857,Kingdom of Lombardy–Venetia,1815,Austrian Empire,independence,independence_gap
Q3733130,Oersted's law,1818,,science,science_gap
Q146862,Second Saudi State,1818,,independence,independence_gap
Q199821,Gran Colombia,1819,Gran Colombia,independence,independence_gap
Q157734,Muscat and Oman,1820,,independence,independence_gap
Q217230,Empire of Brazil,1822,Empire of Brazil,independence,independence_gap
Q190025,Federal Republic of Central America,1823,,independence,independence_gap
Q209065,Kingdom of Greece,1832,Kingdom of Greece,independence,independence_gap
Q162192,Riograndense Republic,1836,,independence,independence_gap
Q170588,Republic of Texas,1836,,independence,independence_gap
Q664,New Zealand,1841,New Zealand,independence,independence_gap
Q786,Dominican Republic,1844,Dominican Republic,independence,independence_gap
Q1356165,discovery of Neptune,1846,United Kingdom,science,science_gap
Q17557,California Republic,1846,United States,independence,independence_gap
Q220167,Republic of Lydenburg,1849,,independence,independence_gap
Q218023,Orange Free State,1854,,independence,independence_gap
Q157904,Sultanate of Zanzibar,1856,Sultanate of Zanzibar,independence,independence_gap
Q129286,British Raj,1858,British Empire,independence,independence_gap
Q202775,Qu'aiti Sultanate,1858,Yemen,independence,independence_gap
Q172579,Kingdom of Italy,1861,,independence,independence_gap
Q214102,Union,1861,,independence,independence_gap
Q134513300,Discovery of Christians,1865,,science,science_gap
Q127861,Khedivate of Egypt,1867,Egypt,independence,independence_gap
Q150981,North German Confederation,1867,,independence,independence_gap
Q28513,Austria–Hungary,1867,Austria–Hungary,independence,independence_gap
Q188712,Empire of Japan,1868,Japan,independence,independence_gap
Q203493,Kingdom of Romania,1881,,independence,independence_gap
Q241748,Kingdom of Serbia,1882,Kingdom of Serbia,independence,independence_gap
Q153665,German South-West Africa,1884,German colonial empire,independence,independence_gap
Q153963,German East Africa,1885,German Empire,independence,independence_gap
Q185682,French Indochina,1887,People's Republic of China,independence,independence_gap
Q319881,Republic of Formosa,1895,Republic of Formosa,independence,independence_gap
Q28233,Korean Empire,1897,Korean Empire,independence,independence_gap
Q241,Cuba,1898,Cuba,independence,independence_gap
Q167360,First Portuguese Republic,1910,Portugal,independence,independence_gap
Q865,Taiwan,1912,Taiwan,independence,independence_gap
Q187035,Principality of Albania,1914,,independence,independence_gap
Q175379,Empire of China,1915,,independence,independence_gap
Q2184,Russian Soviet Federative Socialist Republic,1917,Soviet Union,independence,independence_gap
Q139319,Russian Republic,1917,Russian Republic,independence,independence_gap
Q190636,Centrocaspian Dictatorship,1918,,independence,independence_gap
Q139670,First Republic of Armenia,1918,Armenia,independence,independence_gap
Q140359,First Czechoslovak Republic,1918,,independence,independence_gap
