event,eventLabel,year,countryLabel
http://www.wikidata.org/entity/Q2888010,Battle of Ishibashiyama,1180,Japan
http://www.wikidata.org/entity/Q2888241,Battle of Campaldino,1289,Italy
http://www.wikidata.org/entity/Q2888248,Battle of Cassano,1158,Italy
http://www.wikidata.org/entity/Q2563577,Battle of Samara Bend,1223,Volga Bulgaria
http://www.wikidata.org/entity/Q2637246,Battle of Sasireti,1042,Kingdom of Georgia
http://www.wikidata.org/entity/Q2750179,Siege of Castelnòu d'Arri,1211,France
http://www.wikidata.org/entity/Q2888155,Battle of Bitola,1015,North Macedonia
http://www.wikidata.org/entity/Q2920414,Battle of Basian,1202,Kingdom of Georgia
http://www.wikidata.org/entity/Q2888347,Battle of Consuegra,1097,Spain
http://www.wikidata.org/entity/Q2888503,Battle of Florvåg,1194,Norway
http://www.wikidata.org/entity/Q2888888,Battle of Kalavrye,1078,Turkey
http://www.wikidata.org/entity/Q2888869,Battle of Jerez,1231,Spain
http://www.wikidata.org/entity/Q2888959,Battle of Koromo River,1189,Japan
http://www.wikidata.org/entity/Q2888964,Battle of Kojima,1185,Japan
http://www.wikidata.org/entity/Q2889028,Battle of Kurikara,1183,Japan
http://www.wikidata.org/entity/Q2781949,Battle of Mynydd Carn,1081,Wales
http://www.wikidata.org/entity/Q170113,Battle of Saint Gotthard,1664,Hungary
http://www.wikidata.org/entity/Q205379,Battle of Breitenfeld,1631,Germany
http://www.wikidata.org/entity/Q233414,Battle of Panipat,1556,India
http://www.wikidata.org/entity/Q323735,Battle of Warksow,1678,Germany
http://www.wikidata.org/entity/Q167259,Battle of Lützen,1632,Germany
http://www.wikidata.org/entity/Q493609,Battle of Scarrifholis,1650,Kingdom of Ireland
http://www.wikidata.org/entity/Q586189,Battle of Powick Bridge,1642,Kingdom of England
http://www.wikidata.org/entity/Q489057,Battle of Carrickfergus,1597,United Kingdom
http://www.wikidata.org/entity/Q331170,Battle of Montjuïc,1641,Spain
http://www.wikidata.org/entity/Q261872,Battle of Tarcal,1527,Hungary
http://www.wikidata.org/entity/Q519818,Battle of Zusmarshausen,1648,Germany
http://www.wikidata.org/entity/Q497034,Battle of Sangju,1592,Joseon
http://www.wikidata.org/entity/Q203366,Battle of Gubel,1531,Switzerland
http://www.wikidata.org/entity/Q486979,Battle of Ch'ungju,1592,Joseon
http://www.wikidata.org/entity/Q151663,Revolt of the Comuneros,1520,Crown of Castile
http://www.wikidata.org/entity/Q380067,Battle of Trzciana,1629,Poland
http://www.wikidata.org/entity/Q426926,Battle of Warsaw,1656,Poland
http://www.wikidata.org/entity/Q371409,Battle of Stångebro,1598,Sweden
http://www.wikidata.org/entity/Q481354,Battle of Oldendorf,1633,Germany
http://www.wikidata.org/entity/Q263799,Battle of Mared,1563,Sweden
http://www.wikidata.org/entity/Q263799,Battle of Mared,1563,Denmark
http://www.wikidata.org/entity/Q546505,Battle of Stegeborg,1598,Sweden
http://www.wikidata.org/entity/Q489057,Battle of Carrickfergus,1597,Kingdom of Ireland
http://www.wikidata.org/entity/Q261345,Battle of Lleida,1642,Hispanic Monarchy
http://www.wikidata.org/entity/Q261738,Battle of Kilrush,1642,Kingdom of Ireland
http://www.wikidata.org/entity/Q200855,Battle of Vienna,1683,Habsburg monarchy
http://www.wikidata.org/entity/Q541566,Battle of Kolding,1658,Denmark
http://www.wikidata.org/entity/Q283288,Battle of Abancay,1537,Peru
http://www.wikidata.org/entity/Q473669,Battle of Lake Smolina,1502,Russia
