id,label,year,country,tag,source_file
Q402237,Battle of Zappolino,1325,Italy,war,WarsRecord.csv
Q1432624,Genkō War,1331,Japan,revolution,Coups.csv
Q826021,Kenmu Restoration,1333,Japan,empire,Treaties.csv
Q114620,Battle of Minatogawa,1336,Japan,war,WarsRecord.csv
Q153712,Battle of Parabiago,1339,Italy,war,WarsRecord.csv
Q667606,Battle of Laupen,1339,Switzerland,war,WarsRecord.csv
Q616448,Battle of Champtoceaux,1341,France,war,WarsRecord.csv
Q2658255,Byzantine Civil War of 1341–1347,1341,Byzantine Empire,revolution,Coups.csv
Q645663,University of Pisa,1343,Italy,empire,Treaties.csv
Q611827,Battle of Blanchetaque,1346,France,war,WarsRecord.csv
Q11924838,War of the Union,1347,Crown of Aragon,revolution,Coups.csv
Q31519,Charles University,1348,Czech Republic,empire,Treaties.csv
Q6364172,Kannō disturbance,1350,Japan,revolution,Coups.csv
Q1205962,Castilian Civil War,1351,Crown of Castile,revolution,Coups.csv
Q201692,Battle of Poitiers,1356,France,war,WarsRecord.csv
Q624937,Battle of Visby,1361,Sweden,war,WarsRecord.csv
Q516507,Reconquest of Gallipoli,1366,Turkey,war,WarsRecord.csv
Q558503,Battle of Rudau,1370,Russia,war,WarsRecord.csv
Q615922,Battle of the Vozha River,1378,Russia,war,WarsRecord.csv
Q681702,Battle of Sörenberg,1380,Switzerland,war,WarsRecord.csv
Q210354,Battle of Kulikovo,1380,Grand Principality of Moscow,war,WarsRecord.csv
Q12038667,Moravian Margrave Wars,1381,Margraviate of Moravia,revolution,Coups.csv
Q612288,Battle of Pločnik,1385,Serbia,war,WarsRecord.csv
Q661759,Battle of Sempach,1386,Switzerland,war,WarsRecord.csv
Q646532,Battle of Castagnaro,1387,Italy,war,WarsRecord.csv
Q667460,Battle of Näfels,1388,Old Swiss Confederacy,war,WarsRecord.csv
Q179288,Battle of Kosovo,1389,Kosovo,war,WarsRecord.csv
Q212220,Battle of Nicopolis,1396,Second Bulgarian Empire,war,WarsRecord.csv
Q598069,Battle of Homildon Hill,1402,Kingdom of England,war,WarsRecord.csv
Q209387,Battle of Ankara,1402,Turkey,war,WarsRecord.csv
Q166961,Battle of Shrewsbury,1403,Kingdom of England,war,WarsRecord.csv
Q12504843,Regreg War,1404,Majapahit,revolution,Coups.csv
Q1021160,Armagnac–Burgundian Civil War,1407,France,revolution,Coups.csv
Q647112,Battle of Koronowo,1410,Poland,war,WarsRecord.csv
Q188495,Battle of Agincourt,1415,Kingdom of France,war,WarsRecord.csv
Q134467758,Assassination of Racek Kobyla,1416,Kingdom of Bohemia,culture,Disasters.csv
Q425617,Battle of Verneuil,1424,France,war,WarsRecord.csv
Q4288097,Muscovite Civil War,1425,Grand Principality of Moscow,revolution,Coups.csv
Q328768,Battle of Detern,1426,Germany,war,WarsRecord.csv
Q671340,Battle of Maclodio,1427,Italy,war,WarsRecord.csv
Q648535,Battle of Patay,1429,France,war,WarsRecord.csv
Q283015,Battle of Beaugency,1429,France,war,WarsRecord.csv
Q20105067,War of the Infantes of Aragon,1429,Crown of Castile,revolution,Coups.csv
Q668577,Siege of Compiègne,1430,France,war,WarsRecord.csv
Q2669939,Lithuanian Civil War of 1432–1438,1432,Grand Duchy of Lithuania,revolution,Coups.csv
Q56318696,Castilian Civil War,1437,Crown of Castile,revolution,Coups.csv
Q25501554,War for the Croatian-Hungarian crown in 1440,1440,Kingdom of Hungary,revolution,Coups.csv
Q5365139,Kakitsu Incident,1441,Japan,culture,Disasters.csv
Q451404,Battle of St. Jakob an der Sihl,1443,Switzerland,war,WarsRecord.csv
Q133977,Battle of Caravaggio,1448,Italy,war,WarsRecord.csv
Q1584610,Navarrese Civil War,1451,Spain,revolution,Coups.csv
Q615542,Pontifical Croatian College of St. Jerome,1453,Italy,empire,Treaties.csv
Q551549,Battle of Chojnice,1454,Poland,war,WarsRecord.csv
Q2568602,First Utrecht Civil War,1456,Netherlands,revolution,Coups.csv
Q74072,Battle of Albulena,1457,Albania,war,WarsRecord.csv
Q581401,Battle of Blore Heath,1459,Kingdom of England,war,WarsRecord.csv
Q281089,Battle of Ludford Bridge,1459,Kingdom of England,war,WarsRecord.csv
Q620585,Battle of Mortimer's Cross,1461,Kingdom of England,war,WarsRecord.csv
Q544936,Battle of Ferrybridge,1461,Kingdom of England,war,WarsRecord.csv
Q634629,Battle of Towton,1461,Kingdom of England,war,WarsRecord.csv
Q233416,Second Battle of St Albans,1461,Kingdom of England,war,WarsRecord.csv
Q60826347,Georgian Civil War,1462,Kingdom of Georgia,revolution,Coups.csv
Q265032,Battle of Montlhéry,1465,France,war,WarsRecord.csv
