event,eventLabel,year,countryLabel
http://www.wikidata.org/entity/Q23020255,assassination of Sidónio Pais,1918,
http://www.wikidata.org/entity/Q207342,Trinity,1945,United States
http://www.wikidata.org/entity/Q105987834,Assassination of Talat Pasha,1921,Germany
http://www.wikidata.org/entity/Q124016877,Murder of Kurt Eisner,1919,Weimar Republic
http://www.wikidata.org/entity/Q192050,assassination of Archduke Franz Ferdinand,1914,Austria–Hungary
http://www.wikidata.org/entity/Q108196142,assassination of Nikolay Bobrikov,1904,Russian Empire
http://www.wikidata.org/entity/Q2866985,assassination of William McKinley,1901,United States
http://www.wikidata.org/entity/Q16709196,assassination of Solomon Mikhoels,1948,Soviet Union
http://www.wikidata.org/entity/Q4468581,assassination of Yevhen Konovalets,1938,
http://www.wikidata.org/entity/Q4468587,assassination of Sergei Kirov,1934,
http://www.wikidata.org/entity/Q56250974,Aizawa Incident,1935,Empire of Japan
http://www.wikidata.org/entity/Q3350154,assassination of Mahatma Gandhi,1948,Dominion of India
http://www.wikidata.org/entity/Q118455715,assassination of Federico García Lorca,1936,Nationalist zone
http://www.wikidata.org/entity/Q105176315,assassination of Eloy Alfaro,1912,Ecuador
http://www.wikidata.org/entity/Q2866975,Q2866975,1936,France
http://www.wikidata.org/entity/Q28673225,Q28673225,1944,Poland
http://www.wikidata.org/entity/Q8208030,Assassination of Eduardo Dato,1921,Spain
http://www.wikidata.org/entity/Q8208032,Assassination of José Canalejas,1912,Spain
http://www.wikidata.org/entity/Q11409635,assassination of Hara Takashi,1921,Empire of Japan
http://www.wikidata.org/entity/Q55522337,Assassination of August Gölzer,1945,Protectorate of Bohemia and Moravia
http://www.wikidata.org/entity/Q100699515,Assassination of Luis Miguel Sánchez Cerro,1933,Peru
http://www.wikidata.org/entity/Q700547,Operation Vengeance,1943,
http://www.wikidata.org/entity/Q28040625,X-Ray,1948,
http://www.wikidata.org/entity/Q130260599,Assassination of Alois Rašín,1923,Czechoslovakia
http://www.wikidata.org/entity/Q24866326,assassination of Yun Ki-hyeop,1932,Empire of Japan
http://www.wikidata.org/entity/Q4388669,Ōmiya incident,1867,Japan
http://www.wikidata.org/entity/Q4574512,Bloodfeast of Roskilde,1157,
http://www.wikidata.org/entity/Q116251022,assassination of Prince Boris of Rostov,1015,Kievan Rus'
http://www.wikidata.org/entity/Q112872231,Assassination of Wade Perrin,1870,
http://www.wikidata.org/entity/Q42378006,Assassination of Wallenstein,1634,
http://www.wikidata.org/entity/Q18244438,assassination of Gustav III of Sweden,1792,Sweden
http://www.wikidata.org/entity/Q15220605,Murder of Elisabeth of Austria,1898,Switzerland
http://www.wikidata.org/entity/Q21005831,assassination of Spencer Perceval,1812,United Kingdom of Great Britain and Ireland
http://www.wikidata.org/entity/Q11605028,Kioichō Incident,1878,Japan
http://www.wikidata.org/entity/Q757962,Q757962,1853,Austrian Empire
http://www.wikidata.org/entity/Q17621744,assassination of Cánovas del Castillo,1897,Spain under the Restoration
http://www.wikidata.org/entity/Q5364397,Moriyama Kuzure,1536,Japan
http://www.wikidata.org/entity/Q5365139,Kakitsu Incident,1441,Japan
http://www.wikidata.org/entity/Q16199212,assassination of Thomas Ashton,1831,United Kingdom of Great Britain and Ireland
http://www.wikidata.org/entity/Q110112023,assassination of José Santos Guardiola,1862,Honduras
http://www.wikidata.org/entity/Q1025404,assassination of Abraham Lincoln,1865,United States
http://www.wikidata.org/entity/Q11470147,Q11470147,1552,Japan
http://www.wikidata.org/entity/Q130530282,assassination of Prince Gleb of Murom,1015,Kievan Rus'
http://www.wikidata.org/entity/Q7256073,Assassination of Ma Xinyi,1870,Qing dynasty
http://www.wikidata.org/entity/Q46603,Sakuradamon Incident,1860,Japan
http://www.wikidata.org/entity/Q2866963,Q2866963,1354,
http://www.wikidata.org/entity/Q134467758,Assassination of Racek Kobyla,1416,Kingdom of Bohemia
http://www.wikidata.org/entity/Q111795327,assassination of Narayan Rao,1773,
http://www.wikidata.org/entity/Q11517018,Sakuheimon Incident,1863,Japan
http://www.wikidata.org/entity/Q60832021,Assassination of Henry IV,1610,France
http://www.wikidata.org/entity/Q23491101,assassination of Minamoto no Yoshitada,1109,
http://www.wikidata.org/entity/Q61819670,1860 Plebiscite of the provinces of Emilia,1860,Kingdom of Sardinia
http://www.wikidata.org/entity/Q60836410,"Assassination of Henry I, Duke of Guise",1588,France
http://www.wikidata.org/entity/Q64875937,1592–93 London plague,1593,Kingdom of England
http://www.wikidata.org/entity/Q4386515,RDS-9,1954,Soviet Union
http://www.wikidata.org/entity/Q12973831,assassination of Alfred Duraiappah,1975,Sri Lanka
http://www.wikidata.org/entity/Q28055289,Assassination of Father Jerzy Popiełuszko,1984,Polish People's Republic
http://www.wikidata.org/entity/Q11962539,Breakaway,1956,Australia
http://www.wikidata.org/entity/Q4335301,Q4335301,1980,Paraguay
http://www.wikidata.org/entity/Q11962536,Marcoo,1956,Australia
http://www.wikidata.org/entity/Q4479360,Q4479360,1961,Soviet Union
http://www.wikidata.org/entity/Q98907360,Totem 2,1953,Australia
http://www.wikidata.org/entity/Q98507168,Pajara,1973,United States
http://www.wikidata.org/entity/Q193484,assassination of John F. Kennedy,1963,United States
http://www.wikidata.org/entity/Q4992248,Assassination of Luis Carrero Blanco,1973,Spain
http://www.wikidata.org/entity/Q11997117,Ranger Baker,1951,United States
http://www.wikidata.org/entity/Q4461528,Totskoye nuclear exercise,1954,Soviet Union
http://www.wikidata.org/entity/Q924138,Operation Hurricane,1952,Australia
http://www.wikidata.org/entity/Q2529018,assassination of Patrice Lumumba,1961,Democratic Republic of the Congo
http://www.wikidata.org/entity/Q254652,Starfish Prime,1962,United States
http://www.wikidata.org/entity/Q85966938,Q85966938,1980,Australia
http://www.wikidata.org/entity/Q4808502,"assassination of Benigno Aquino, Jr.",1983,Philippines
http://www.wikidata.org/entity/Q4808520,assassination of Taha Carım,1977,Italy
http://www.wikidata.org/entity/Q4808503,assassination of Daya Pathirana,1986,Sri Lanka
http://www.wikidata.org/entity/Q4808507,assassination of Galip Balkar,1983,Yugoslavia
http://www.wikidata.org/entity/Q4808524,assassination of Ziaur Rahman,1981,Bangladesh
http://www.wikidata.org/entity/Q39057172,assassination of Airey Neave,1979,United Kingdom
http://www.wikidata.org/entity/Q4691517,Agathe,1961,France
http://www.wikidata.org/entity/Q19386221,Ranger Able,1951,United States
http://www.wikidata.org/entity/Q5604164,Item,1951,United States
http://www.wikidata.org/entity/Q11959409,Aspen,1958,United States
http://www.wikidata.org/entity/Q98831752,Test 1,1953,Australia
http://www.wikidata.org/entity/Q11962969,Cactus,1958,United States
http://www.wikidata.org/entity/Q2756743,assassination of Anwar Sadat,1981,Egypt
http://www.wikidata.org/entity/Q16208438,Assassination of Sir Henry Gurney,1951,Malaysia
http://www.wikidata.org/entity/Q1187550,assassination of Robert F. Kennedy,1968,United States
http://www.wikidata.org/entity/Q3284177,assassination of Olof Palme,1986,Sweden
http://www.wikidata.org/entity/Q7249319,Project Shoal,1963,United States
http://www.wikidata.org/entity/Q1192659,Vela incident,1979,Israel
http://www.wikidata.org/entity/Q1192659,Vela incident,1979,South Africa
http://www.wikidata.org/entity/Q7899257,Upshot-Knothole Simon,1953,United States
http://www.wikidata.org/entity/Q3246743,Ivy King,1952,United States
http://www.wikidata.org/entity/Q4052442,Upshot-Knothole Annie,1953,United States
http://www.wikidata.org/entity/Q4052443,Upshot-Knothole Harry,1953,United States
http://www.wikidata.org/entity/Q2078341,Upshot-Knothole Grable,1953,United States
http://www.wikidata.org/entity/Q757963,assassination of Martin Luther King Jr.,1968,United States
http://www.wikidata.org/entity/Q5656344,Hardtack Teak,1958,United States
http://www.wikidata.org/entity/Q4335271,Operation Groza,1961,Soviet Union
http://www.wikidata.org/entity/Q4335272,Operation Grim,1961,Soviet Union
http://www.wikidata.org/entity/Q17513391,assassination of Khaled Mosharraf,1975,Bangladesh
http://www.wikidata.org/entity/Q11962537,One Tree,1956,Australia
http://www.wikidata.org/entity/Q14099166,Upshot-Knothole Encore,1953,United States
http://www.wikidata.org/entity/Q98608889,Q98608889,1962,United States
http://www.wikidata.org/entity/Q11256383,assassination of Inejiro Asanuma,1960,Japan
